Date,Piligrims,Tonsures,Hundi,Special Day,Tirupati,Tirumala,VIP darshan,tirumala darshan,srinivasam complex,tirumala darshan tickets,tirupati balaji.ap.gov.in,Special Day Weighted,Piligrims_7Day_Avg,Festival Intensity
11-06-2022,87698,48804.0,3.88,1,66,33,38,19,0,16,7,1.0336141322534529,76077.85714285714,76077.85714285714
12-06-2022,93400,39451.0,3.75,1,59,29,18,17,0,0,6,1.0336141322534529,78251.0,78251.0
13-06-2022,78602,42423.0,4.32,1,53,30,38,13,0,22,0,1.0336141322534529,78491.14285714286,78491.14285714286
14-06-2022,79103,37292.0,4.42,1,51,28,19,17,0,18,5,1.0336141322534529,78873.71428571429,78873.71428571429
15-06-2022,77326,38742.0,4.36,1,53,31,26,21,17,20,0,1.0336141322534529,79156.71428571429,79156.71428571429
16-06-2022,73371,39924.0,4.14,1,54,28,18,15,0,10,0,1.0336141322534529,79635.57142857143,79635.57142857143
17-06-2022,76407,39938.0,4.28,1,57,28,0,15,0,7,9,1.0336141322534529,80843.85714285714,80843.85714285714
18-06-2022,84982,46679.0,4.42,1,66,32,37,17,39,22,0,1.0336141322534529,80455.85714285714,80455.85714285714
19-06-2022,90471,37039.0,4.13,0,55,27,21,15,0,15,0,1.0,80037.42857142857,0.0
20-06-2022,76597,37759.0,4.47,1,58,29,19,18,0,9,6,1.0336141322534529,79751.0,79751.0
21-06-2022,74906,36138.0,4.07,1,56,27,37,19,0,20,5,1.0336141322534529,79151.42857142857,79151.42857142857
22-06-2022,75472,38335.0,3.87,1,55,27,39,17,0,9,6,1.0336141322534529,78886.57142857143,78886.57142857143
23-06-2022,68873,38952.0,4.44,0,55,27,16,10,0,8,5,1.0,78244.0,0.0
24-06-2022,71589,41240.0,4.3,0,63,32,28,22,15,13,0,1.0,77555.71428571429,0.0
25-06-2022,71069,34741.0,4.27,0,68,36,11,10,38,7,7,1.0,75568.14285714286,0.0
26-06-2022,88613,36153.0,4.24,0,59,30,58,22,25,23,17,1.0,75302.71428571429,0.0
27-06-2022,74288,36473.0,4.46,0,64,40,34,26,0,19,33,1.0,74972.85714285714,0.0
28-06-2022,77154,30182.0,4.62,1,59,34,0,18,48,15,12,1.0336141322534529,75294.0,75294.0
29-06-2022,70134,30059.0,4.26,0,54,34,65,19,17,13,19,1.0,74531.42857142857,0.0
30-06-2022,65898,33686.0,3.66,0,57,29,16,13,12,16,15,1.0,74106.42857142857,0.0
01-07-2022,64628,41613.0,3.47,0,58,31,34,22,41,24,8,1.0,73112.0,0.0
02-07-2022,88026,50652.0,4.34,0,66,35,25,22,0,18,6,1.0,75534.42857142857,0.0
03-07-2022,88682,37447.0,4.09,1,59,34,26,18,0,17,0,1.0336141322534529,75544.28571428571,75544.28571428571
04-07-2022,77907,38267.0,6.18,1,61,28,0,19,19,30,15,1.0336141322534529,76061.28571428571,76061.28571428571
05-07-2022,73439,34490.0,4.35,1,59,29,24,22,0,21,0,1.0336141322534529,75530.57142857143,75530.57142857143
06-07-2022,76418,38629.0,4.73,0,61,37,27,19,17,8,16,1.0,76428.28571428571,0.0
07-07-2022,75407,35535.0,4.56,0,65,40,28,27,0,20,29,1.0,77786.71428571429,0.0
08-07-2022,73016,37068.0,4.09,0,68,43,0,23,0,11,22,1.0,78985.0,0.0
09-07-2022,87478,48692.0,4.53,1,72,46,18,30,30,0,11,1.0336141322534529,78906.71428571429,78906.71428571429
10-07-2022,89013,37698.0,4.39,1,69,34,18,17,0,8,0,1.0336141322534529,78954.0,78954.0
