Piligrims,Tonsures,Hundi,Tirupati,Tirumala,VIP darshan,tirumala darshan,srinivasam complex,tirumala darshan tickets,tirupati balaji.ap.gov.in,condition,temperature,Timestamp,weekday,festival_count,festival_impact,holidays,Special Day Weighted,Piligrims_7Day_Avg,Festival intensity
75449,27121,4.91,29,19,0,26,51,33,0,1275,83.66,1719772200.0,0,1,68156.49102312156,1,1.0336141322534529,73293.14285714286,73293.14285714286
67398,26512,4.09,30,19,0,30,0,0,0,839,84.38,1719858600.0,0,1,68156.49102312156,1,1.0336141322534529,72660.85714285714,72660.85714285714
69632,30179,3.32,29,20,0,23,0,0,0,1308,85.28,1719945000.0,0,1,68156.49102312156,1,1.0336141322534529,71560.85714285714,71560.85714285714
63826,27530,4.23,30,20,0,34,0,38,0,839,80.96000000000001,1720031400.0,0,1,68156.49102312156,1,1.0336141322534529,71995.71428571429,71995.71428571429
65775,25126,3.41,32,20,0,27,0,32,0,1308,87.08000000000001,1720117800.0,0,1,63674.21778183293,1,1.0336141322534529,71927.0,71927.0
77995,30250,3.72,34,23,0,27,0,0,0,1621,81.32,1720204200.0,1,1,68156.49102312156,1,1.0336141322534529,71582.85714285714,71582.85714285714
78912,32039,3.83,31,23,0,26,0,0,0,839,86.53999999999999,1720290600.0,1,1,68156.49102312156,1,1.0336141322534529,71283.85714285714,71283.85714285714
63619,28572,3.78,32,20,87,38,0,33,0,1621,81.86,1720377000.0,0,1,68156.49102312156,1,1.0336141322534529,69593.85714285714,69593.85714285714
67245,25054,4.51,32,20,76,31,0,0,0,1308,82.58000000000001,1720463400.0,0,1,67427.46222627738,1,1.0336141322534529,69572.0,69572.0
73353,28444,3.05,32,18,0,27,0,31,0,1308,85.28,1720549800.0,0,1,67561.59555961071,1,1.0336141322534529,70103.57142857143,70103.57142857143
65392,29015,4.23,32,19,85,35,0,32,0,1308,80.6,1720636200.0,0,1,67561.59555961071,1,1.0336141322534529,70327.28571428571,70327.28571428571
63493,31676,4.69,34,21,0,39,0,41,0,1308,85.46000000000001,1720722600.0,0,1,67561.59555961071,1,1.0336141322534529,70001.28571428571,70001.28571428571
75916,42920,3.87,35,26,0,39,0,41,0,1308,80.06,1720809000.0,1,1,68156.49102312156,1,1.0336141322534529,69704.28571428571,69704.28571428571
84797,29497,3.98,30,24,0,37,0,41,0,962,72.86,1720895400.0,1,1,68156.49102312156,1,1.0336141322534529,70545.0,70545.0
75054,26239,4.72,33,22,0,35,0,36,0,1275,77.9,1720981800.0,0,1,68156.49102312156,1,1.0336141322534529,72178.57142857143,72178.57142857143
71409,26128,4.15,32,20,0,22,0,27,0,1621,79.7,1721068200.0,0,2,70758.66222627737,1,1.0336141322534529,72773.42857142857,72773.42857142857
69029,28547,2.9,34,22,0,26,0,32,0,1308,80.96000000000001,1721154600.0,0,4,68854.66222627737,1,1.0336141322534529,72155.71428571429,72155.71428571429
67223,24549,4.66,34,24,0,42,0,35,0,962,81.32,1721241000.0,0,2,67409.86222627737,1,1.0336141322534529,72417.28571428571,72417.28571428571
65134,26100,4.27,34,24,0,27,0,0,0,1308,75.38,1721327400.0,0,1,73100.26222627738,1,1.0336141322534529,72651.71428571429,72651.71428571429
83538,30267,4.25,36,28,0,33,0,28,0,1621,75.56,1721413800.0,1,1,73100.26222627738,1,1.0336141322534529,73740.57142857143,73740.57142857143
